[1] Engine CTor1
[1] Engine CTor2
[1] Engine CTor3
[1] MPI init called
[1]        /mpi_comm.cpp,  19, initialize                      , tid: A0852100,    331 ::result:0, host=1, thread-support:0,requested:0,  thrd-enabled:1
[1] MPI init returned
[0]          /engine.cpp,  46, engine                          , tid: 3CAA1100,    332 ::[1]          /engine.cpp,  46, engine                          , tid: A0852100,    331 ::[0] mpi tick :0.000001
[1] mpi tick :0.000001
[1] Engine start
[0]          /engine.cpp, 169, setConfig                       , tid: 3CAA1100,    332 ::[1] @stats Msg Sizes D,T,L: 392,150,64
[1]          /engine.cpp, 169, setConfig                       , tid: A0852100,    331 ::DataPackSize:392=5*5*8+16+176
[1]          /engine.cpp, 171, setConfig                       , tid: A0852100,    331 ::data meory:0xec0670
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::[1] ,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::[1] ,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    368 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::[1] ,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::[1] ,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::[1] ,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
[1]            /data.cpp, 296, setRunTimeVersion               , tid: A0852100,    369 ::,D(0,0),to:0
